run_timestamp,rank,recommended,profile,gold_weight,silver_weight,bronze_weight,traffic_rows,gold_rows,gold_mean_delay_ms,gold_p90_delay_ms,gold_max_delay_ms,gold_sla_ms,gold_violation_rate,silver_rows,silver_mean_delay_ms,silver_p90_delay_ms,silver_max_delay_ms,silver_sla_ms,silver_violation_rate,bronze_rows,bronze_mean_delay_ms,bronze_p90_delay_ms,bronze_max_delay_ms,bronze_sla_ms,bronze_violation_rate,sla_feasible,weighted_violation_score,weighted_delay_score,holdout_rmse_log_delay,holdout_r2_log_delay
2026-05-17T18:43:51,1,True,60/30/10,60.0,30.0,10.0,29280,4592,24.470300674438477,42.047052383422866,82.9846420288086,20.0,0.6572299651567944,8991,24.219194412231445,41.86145782470703,84.25838470458984,50.0,0.05182960738516294,15697,30.81458854675293,57.122294616699214,178.79627990722656,100.0,0.016181435943173856,False,0.6705451011657715,4.947458763122558,0.3588362084253181,0.7646218988400726
2026-05-17T18:43:51,2,False,80/15/5,80.0,15.0,5.0,29280,4592,24.989158630371094,42.92156181335451,83.75432586669922,20.0,0.6572299651567944,8991,30.615755081176758,56.368343353271484,115.81587982177734,50.0,0.18974530085641197,15697,31.27170753479004,59.877952575683594,189.71385192871094,100.0,0.017073326113270053,False,0.7483737945556643,5.285721073150635,0.3588362084253181,0.7646218988400726
2026-05-17T18:43:51,3,False,25/65/10,25.0,65.0,10.0,29280,4592,25.015138626098633,43.67638130187989,86.83674621582031,20.0,0.6572299651567944,8991,24.284076690673828,41.76321029663086,83.1910629272461,50.0,0.05127349571794016,15697,30.81458854675293,57.122294616699214,178.79627990722656,100.0,0.016181435943173856,False,0.7522707939147948,5.031779747009277,0.3588362084253181,0.7646218988400726
2026-05-17T18:43:51,4,False,33/33/34,33.0,33.0,34.0,29280,4592,25.11932945251465,45.5372200012207,92.85672760009766,20.0,0.6567944250871081,8991,24.55421257019043,43.96996307373047,91.16007232666016,50.0,0.05716827939050161,15697,33.915401458740234,73.33055725097655,169.4686737060547,100.0,0.04325667324966554,False,0.7678994178771974,5.089221935272217,0.3588362084253181,0.7646218988400726
2026-05-17T18:43:51,5,False,50/40/10,50.0,40.0,10.0,29280,4592,25.26804542541504,44.64842987060547,89.83119201660156,20.0,0.6572299651567944,8991,24.796018600463867,43.34775161743164,88.18980407714844,50.0,0.05416527638749861,15697,30.81458854675293,57.122294616699214,178.79627990722656,100.0,0.016181435943173856,False,0.790206813812256,5.0901934432983404,0.3588362084253181,0.7646218988400726
2026-05-17T19:37:12,1,True,60/30/10,60.0,30.0,10.0,500,97,24.11612319946289,42.13184127807617,68.30236053466797,20.0,0.6494845360824743,135,22.468355178833008,40.58496932983399,56.974056243896484,50.0,0.02962962962962963,268,29.602035522460938,56.59958419799805,135.114990234375,100.0,0.018656716417910446,False,0.6174184799194333,4.8121730422973625,0.3588362084253181,0.7646218988400726
2026-05-17T19:37:12,2,False,25/65/10,25.0,65.0,10.0,500,97,24.626205444335938,43.59120407104492,72.19129180908203,20.0,0.6494845360824743,135,22.540987014770508,40.48541336059571,55.58428955078125,50.0,0.02962962962962963,268,29.602035522460938,56.59958419799805,135.114990234375,100.0,0.018656716417910446,False,0.6939308166503904,4.89159065246582,0.3588362084253181,0.7646218988400726
2026-05-17T19:37:12,3,False,80/15/5,80.0,15.0,5.0,500,97,24.64722442626953,42.971544647216795,68.93586730957031,20.0,0.6494845360824743,135,28.23543930053711,53.367591094970706,72.40375518798828,50.0,0.17037037037037037,268,30.147321701049805,56.99931678771973,141.44168090820312,100.0,0.018656716417910446,False,0.6970836639404294,5.127974452972412,0.3588362084253181,0.7646218988400726
2026-05-17T19:37:12,4,False,33/33/34,33.0,33.0,34.0,500,97,24.68920135498047,45.746635437011726,75.78022766113281,20.0,0.6494845360824743,135,22.70598793029785,42.86328964233399,56.65020751953125,50.0,0.02962962962962963,268,32.0256462097168,72.22952194213867,148.07786560058594,100.0,0.033582089552238806,False,0.7033802032470702,4.931876182556152,0.3588362084253181,0.7646218988400726
2026-05-17T19:37:12,5,False,50/40/10,50.0,40.0,10.0,500,97,24.868453979492188,44.85037231445313,73.8429183959961,20.0,0.6494845360824743,135,23.03081512451172,41.90686111450196,57.678890228271484,50.0,0.02962962962962963,268,29.602035522460938,56.59958419799805,135.114990234375,100.0,0.018656716417910446,False,0.730268096923828,4.947521057128906,0.3588362084253181,0.7646218988400726
2026-05-17T20:01:07,1,True,60/30/10,60.0,30.0,10.0,29280,4592,24.470300674438477,42.047052383422866,82.9846420288086,20.0,0.6572299651567944,8991,24.219194412231445,41.86145782470703,84.25838470458984,50.0,0.05182960738516294,15697,30.81458854675293,57.122294616699214,178.79627990722656,100.0,0.016181435943173856,False,0.6705451011657715,4.947458763122558,0.3588362084253181,0.7646218988400726
2026-05-17T20:01:07,2,False,80/15/5,80.0,15.0,5.0,29280,4592,24.989158630371094,42.92156181335451,83.75432586669922,20.0,0.6572299651567944,8991,30.615755081176758,56.368343353271484,115.81587982177734,50.0,0.18974530085641197,15697,31.27170753479004,59.877952575683594,189.71385192871094,100.0,0.017073326113270053,False,0.7483737945556643,5.285721073150635,0.3588362084253181,0.7646218988400726
2026-05-17T20:01:07,3,False,25/65/10,25.0,65.0,10.0,29280,4592,25.015138626098633,43.67638130187989,86.83674621582031,20.0,0.6572299651567944,8991,24.284076690673828,41.76321029663086,83.1910629272461,50.0,0.05127349571794016,15697,30.81458854675293,57.122294616699214,178.79627990722656,100.0,0.016181435943173856,False,0.7522707939147948,5.031779747009277,0.3588362084253181,0.7646218988400726
2026-05-17T20:01:07,4,False,33/33/34,33.0,33.0,34.0,29280,4592,25.11932945251465,45.5372200012207,92.85672760009766,20.0,0.6567944250871081,8991,24.55421257019043,43.96996307373047,91.16007232666016,50.0,0.05716827939050161,15697,33.915401458740234,73.33055725097655,169.4686737060547,100.0,0.04325667324966554,False,0.7678994178771974,5.089221935272217,0.3588362084253181,0.7646218988400726
2026-05-17T20:01:07,5,False,50/40/10,50.0,40.0,10.0,29280,4592,25.26804542541504,44.64842987060547,89.83119201660156,20.0,0.6572299651567944,8991,24.796018600463867,43.34775161743164,88.18980407714844,50.0,0.05416527638749861,15697,30.81458854675293,57.122294616699214,178.79627990722656,100.0,0.016181435943173856,False,0.790206813812256,5.0901934432983404,0.3588362084253181,0.7646218988400726
